章番号,章タイトル,ページ
第1章,ガイダンス・文の実行と制御構造,7
1.1,ガイダンス,7
1.2,環境整備,7
1.2.1,UTOL への登録,7
1.2.2,jupyter-notebook の起動と操作,7
,UV,8
,Anaconda,9
1.2.3,Google Colaboratory,10
1.3,プログラムの作成と実行,10
1.4,順次の実行,11
1.5,整数と繰り返し,12
1.6,条件分岐,16
1.7,総合問題,17
1.8,この章の課題,20
第2章,式と評価，関数,21
2.1,式の評価,21
2.2,関数的な計算: 式と評価,22
2.2.1,原始的な式,22
2.2.2,式の組み合わせ,22
2.2.3,変数: 値に名前をつける,23
2.2.4,関数: 計算に名前をつける,24
2.2.5,関数内の変数,26
2.2.6,様々な型と演算,27
2.2.7,条件判断,30
2.2.8,計算の順序,32
2.3,参考: 命令的な計算,33
2.4,発展: 関数を返す関数,34
2.5,この章の提出課題,39
2.A,毎週の課題の提出方式について,40
2.A.1,授業開始時: テンプレートの入手,40
2.B,ターミナルでのPython3 の利用,41
2.B.1,整数除算,41
2.C,参考資料,42
第3章,ユニットテスト，配列，ループ不変条件,43
3.1,テストの自動化: ユニットテスト,43
3.1.1,テストケースの作成,46
3.2,配列と関数,47
3.2.1,関数内の変数(前半は再掲),47
3.2.2,配列,48
3.3,変数の値の書き換えとループ不変条件,50
3.4,配列とループ,52
3.5,配列や文字列の変更,53
3.6,発展: 関数のパラメータ化,57
3.7,この章の提出課題,59
3.A,テスト駆動開発?,60
3.A.1,閏年の判定,60
,失敗するテストの作成,60
,実装とテストの拡充,61
,実装の変更,61
,仕様の変更,61
3.B,C++でのテスト,62
第4章,参照と二次元配列,64
4.1,配列の要素の書き換え,64
4.2,二次元配列,66
4.3,成長スライドパズル,69
4.3.1,1 行の移動,70
4.3.2,正方形の盤面,71
4.4,有限ライフゲーム,73
4.5,この章の提出課題,79
4.A,実体と参照?,80
4.B,先週の補足,85
第5章,再帰,86
5.1,帰納的定義と線形再帰,86
5.2,範囲を絞る: 二分法・二分探索,87
5.3,枝分かれを伴う再帰,91
5.4,併合整列(Merge Sort),95
5.5,再帰と反復の応用,97
5.6,この章の提出課題,99
5.A,関数と実行状態の管理,100
5.B,ユークリッドの互除法と応用,102
第6章,木構造，複合データ(クラス),103
6.1,階層的構造,103
6.1.1,数値の二分木,103
6.1.2,木の頂点の訪問,105
6.1.3,規則を持つ木: 二分探索木,107
6.1.4,決定木,108
6.1.5,四則演算の構文木,110
6.1.6,内部表現の世界と使用する世界の分離,111
6.2,クラスの利用の初歩,111
6.3,発展問題,113
6.4,この章の提出課題,114
第7章,状態管理，抽象インターフェースと継承,115
7.1,内部状態を持つオブジェクト,115
7.1.1,内部状態,115
7.1.2,カプセル化,116
7.1.3,メソッドの再帰呼出し,120
7.1.4,状態と複製,122
7.1.5,クラスの図表現,124
7.2,インターフェース,125
7.2.1,囚人のジレンマゲーム,125
7.2.2,ゲームとプレイヤのモデル化,125
7.2.3,繰り返し囚人のジレンマゲーム,128
7.2.4,インターフェースの拡張と継承,128
7.3,この章の提出課題,131
第8章,クラスライブラリ・デザインパターン,133
8.1,クラスとオブジェクト,133
8.1.1,C++のクラス,134
8.1.2,例外処理,135
8.1.3,複数の方を持ちうる型,137
8.2,Python のhelp とdocstring,137
8.3,クラスとインターフェースの継承,139
8.3.1,C++とインターフェースの継承,141
8.4,デザイン・パターン,144
8.4.1,パターンの例: Observer パターンと時計プログラム,144
8.4.2,Subject とObserver,145
8.4.3,時を刻む部分の変更,146
8.4.4,時刻を表示する部分,146
8.5,C++でclass を扱う注意点,148
8.5.1,複製と参照，スマートポインタ,148
8.6,この章の提出課題,154
第9章,状態の保存と通信,155
9.1,モジュールとパッケージ,155
9.2,データの扱い,156
9.2.1,文字列とバイト列,156
9.2.2,テキストファイルの読み書き,157
9.2.3,path,159
9.2.4,CSV,159
9.2.5,階層データとdict,160
,配列や参照を含むdict,160
9.2.6,JSON: 階層データの文字列表現,162
9.3,HTTP,163
9.3.1,HTTP での読み込み,163
9.3.2,データの配布,164
9.3.3,geojson,164
9.4,numpy,164
9.4.1,線形代数,165
9.4.2,numpy データの保存,166
9.5,乱数の管理,166
9.5.1,seed,167
9.5.2,状態管理,167
9.6,ファイルからの実行,168
9.6.1,ソースファイルの作成と実行,168
9.6.2,引数の指定,169
9.6.3,テストの実行,170
9.6.4,総合問題,170
9.7,この章の提出課題,171
9.A,Microsoft Windows での環境設定,171
9.A.1,Gitbash,171
9.A.2,WSL,172
9.A.3,MSYS2,172
9.B,Jupyter で書いたプログラムの実行,172
9.C,ファイルの分割,173
9.D,reload,174
第10章,最終課題,175
10.1,最終課題の選択肢,175
10.2,Schedule,175
10.2.1,提出期限,176
第11章,最終課題作成,177
第12章,最終課題発表,178
付録A,開発ツール,179
A.1,バージョン管理システムと最小限のgit,179
A.1.1,さいしょの目標,179
A.1.2,初期設定,180
,ユーザ情報の設定,180
,リポジトリの初期作成,180
,既存のリポジトリを複製する場合,181
,新規リポジトリを作成する場合(参考),181
A.1.3,ファイルの変更と登録,181
,git add とcommit の関係,182
A.1.4,履歴の活用,184
A.2,リモートコンピュータの利用— SSH,184
A.2.1,公開鍵暗号システムを用いた認証,184
,鍵ペアの作成,185
,公開鍵の登録,185
,ログイン,186
A.3,リモートリポジトリの利用と共同開発,187
A.3.1,上流リポジトリの作成,187
A.3.2,上流リポジトリの活用,188
A.3.3,複数人での開発,189
付録B,最終課題: 潜水艦ゲーム,191
B.1,目標,191
B.2,準備,191
B.3,動作確認と対戦,192
B.4,独自の思考プレイヤー作り方,194
B.4.1,サンプルプログラムを読む,194
B.4.2,ヒント,194
B.5,Python パッケージの読み方,195
B.5.1,フォルダ構成,195
B.5.2,よく使うモジュール,195
,pytest,196
,argparse,196
,logging,197
B.5.3,関数と引数,199
B.6,2025 年度の変更,200
付録C,最終課題: 強化学習Gymnasium,201
C.1,インストール,201
C.2,動作確認,201
C.3,ランダムプレイ,202
C.4,賢い行動をさせる,202
C.4.1,初めの一歩(案),203
C.4.2,強化学習,203
C.4.3,環境の選択,203
